40,0,0,0,255,255,255
280,0,0,0.001,252,249,249
520,0,0,0.003,249,244,244
760,0,0,0.007,247,238,238
1000,0,0,0.012,244,233,233
1240,0,0,0.018,241,227,227
1480,0,0,0.026,238,222,222
1720,0,0,0.035,236,216,216
1960,0,0,0.045,233,210,210
2200,0,0,0.056,230,205,205
2440,0,0,0.069,227,199,199
2680,0,0,0.083,224,194,194
2920,0,0,0.098,222,188,188
3160,0,0,0.115,219,183,183
3400,0,0,0.132,216,177,177
3640,0,0,0.151,213,172,172
3880,0,0,0.171,210,166,166
4120,0,0,0.192,208,160,160
4360,0,0,0.215,205,155,155
4600,0,0,0.238,202,149,149
4840,0,0,0.263,199,144,144
5080,0,0,0.288,197,138,138
5320,0,0,0.315,194,133,133
5560,0,0,0.343,191,127,127
5800,0,0,0.372,188,121,121
6040,0,0,0.402,185,116,116
6280,0,0,0.433,183,110,110
6520,0,0,0.465,180,105,105
6760,0,0,0.498,177,99,99
7000,0,0,0.532,174,94,94
7240,0,0,0.567,172,88,88
7480,0,0,0.604,169,83,83
7720,0,0,0.641,166,77,77
7960,0,0,0.679,163,71,71
8200,0,0,0.718,160,66,66
8440,0,0,0.757,158,60,60
8680,0,0,0.798,155,55,55
8920,0,0,0.84,152,49,49
9160,0,0,0.883,149,44,44
9400,0,0,0.926,147,38,38
9640,0,0,0.97,144,32,32
9880,0,0,1.016,141,27,27
10120,0,0,1.062,138,21,21
10360,0,0,1.108,135,16,16
10600,0,0,1.156,133,10,10
10840,0,0,1.205,130,5,5
11080,0,0,1.254,128,0,0
11320,0,0,1.304,128,0,0
11560,0,0,1.354,128,0,0
11800,0,0,1.406,128,0,0
12040,0,0,1.458,128,0,0
12280,0,0,1.511,128,0,0
12520,0,0,1.565,128,0,0
12760,0,0,1.619,128,0,0
13000,0,0,1.674,128,0,0
13240,0,0,1.73,128,0,0
13480,0,0,1.786,128,0,0
13720,0,0,1.843,128,0,0
13960,0,0,1.901,128,0,0
14200,0,0,1.959,128,0,0
14440,0,0,2.018,128,0,0
14680,0,0,2.077,128,0,0
14920,0,0,2.137,128,0,0
15160,0,0,2.197,128,0,0
15400,0,0,2.258,128,0,0
15640,0,0,2.32,128,0,0
15880,0,0,2.382,128,0,0
16120,0,0,2.445,128,0,0
16360,0,0,2.508,128,0,0
16600,0,0,2.571,128,0,0
16840,0,0,2.635,128,0,0
17080,0,0,2.7,128,0,0
17320,0,0,2.765,128,0,0
17560,0,0,2.83,128,0,0
17800,0,0,2.896,128,0,0
18040,0,0,2.962,128,0,0
18280,0,0,3.028,128,0,0
18520,0,0,3.095,128,0,0
18760,0,0,3.163,128,0,0
19000,0,0,3.23,128,0,0
19240,0,0,3.298,128,0,0
19480,0,0,3.366,128,0,0
19720,0,0,3.435,128,0,0
19960,0,0,3.504,128,0,0
20200,0,0,3.573,128,0,0
20440,0,0,3.642,128,0,0
20680,0,0,3.712,128,0,0
20920,0,0,3.782,128,0,0
21160,0,0,3.852,128,0,0
21400,0,0,3.922,128,0,0
21640,0,0,3.993,128,0,0
21880,0,0,4.064,128,0,0
22120,0,0,4.135,128,0,0
22360,0,0,4.206,128,0,0
22600,0,0,4.277,128,0,0
22840,0,0,4.348,128,0,0
23080,0,0,4.42,128,0,0
23320,0,0,4.491,128,0,0
23560,0,0,4.563,128,0,0
23800,0,0,4.635,128,0,0
24040,0,0,4.706,128,0,0
24280,0,0,4.778,128,0,0
24520,0,0,4.85,128,0,0
24760,0,0,4.922,128,0,0
25000,0,0,4.994,128,0,0
25240,0,0,5.066,128,0,0
25480,0,0,5.138,128,0,0
25720,0,0,5.21,128,0,0
25960,0,0,5.282,128,0,0
26200,0,0,5.353,128,0,0
26440,0,0,5.425,128,0,0
26680,0,0,5.497,128,0,0
26920,0,0,5.568,128,0,0
27160,0,0,5.64,128,0,0
27400,0,0,5.711,128,0,0
27640,0,0,5.783,128,0,0
27880,0,0,5.854,128,0,0
28120,0,0,5.925,128,0,0
28360,0,0,5.995,128,0,0
28600,0,0,6.066,128,0,0
28840,0,0,6.136,128,0,0
29080,0,0,6.206,128,0,0
29320,0,0,6.276,128,0,0
29560,0,0,6.346,128,0,0
29800,0,0,6.415,128,0,0
30040,0,0,6.485,128,0,0
30280,0,0,6.554,128,0,0
30520,0,0,6.622,128,0,0
30760,0,0,6.69,128,0,0
31000,0,0,6.758,128,0,0
31240,0,0,6.826,128,0,0
31480,0,0,6.893,128,0,0
31720,0,0,6.96,128,0,0
31960,0,0,7.027,128,0,0
32200,0,0,7.093,128,0,0
32439,0,0,7.159,128,0,0
32680,0,0,7.224,128,0,0
32920,0,0,7.289,128,0,0
33160,0,0,7.354,128,0,0
33400,0,0,7.418,128,0,0
33640,0,0,7.482,128,0,0
33880,0,0,7.545,128,0,0
34120,0,0,7.608,128,0,0
34360,0,0,7.67,128,0,0
34600,0,0,7.731,128,0,0
34840,0,0,7.792,128,0,0
35080,0,0,7.853,128,0,0
35320,0,0,7.913,128,0,0
35560,0,0,7.973,128,0,0
35800,0,0,8.031,128,0,0
36040,0,0,8.09,128,0,0
36280,0,0,8.147,128,0,0
36520,0,0,8.204,128,0,0
36760,0,0,8.261,128,0,0
37000,0,0,8.317,128,0,0
37240,0,0,8.372,128,0,0
37480,0,0,8.426,128,0,0
37720,0,0,8.48,128,0,0
37960,0,0,8.533,128,0,0
38200,0,0,8.585,128,0,0
38440,0,0,8.637,128,0,0
38680,0,0,8.688,128,0,0
38920,0,0,8.738,128,0,0
39160,0,0,8.787,128,0,0
39400,0,0,8.836,128,0,0
