40,0,0,0,128,0,0
280,0,0,0.079,128,0,0
520,0,0,0.29,128,0,0
760,0,0,0.591,128,0,0
1000,0,0,0.94,128,0,0
1240,0,0,1.296,128,0,0
1480,0,0,1.617,128,0,0
1720,0,0,1.863,128,0,0
1960,0,0,1.991,128,0,0
2200,0,0.021,2,153,0,0
2440,0,0.171,2,153,0,0
2680,0,0.432,2,153,0,0
2920,0,0.762,2,153,0,0
3160,0,1.12,2,153,0,0
3400,0,1.464,2,153,0,0
3640,0,1.752,2,153,0,0
3880,0,1.944,2,153,0,0
4120,0,1.998,2,153,0,0
4360,0,1.893,2,153,0,0
4600,0,1.665,2,153,0,0
4840,0,1.353,2,153,0,0
5080,0,1,2,153,0,0
5320,0,0.647,2,153,0,0
5560,0,0.335,2,153,0,0
5800,0,0.107,2,153,0,0
6040,0,0.002,2,153,0,0
6280,0,0,1.944,153,0,0
6520,0,0,1.752,153,0,0
6760,0,0,1.464,153,0,0
7000,0,0,1.12,153,0,0
7240,0,0,0.762,153,0,0
7480,0,0,0.432,153,0,0
7720,0,0,0.171,153,0,0
7960,0,0,0.021,153,0,0
8200,0,0,0,153,0,0
